Label,Description
ACL,Clausal modifier of noun
ACOMP,Adjectival complement
ADVCL,Adverbial clause modifier
ADVMOD,Adverbial modifier
AGENT,Agent
AMOD,Adjectival modifier
APPOS,Appositional modifier
ATTR,Attribute
AUX,Auxiliary
AUXPASS,Auxiliary (passive)
CASE,Case marker
CC,Coordinating conjunction
CCOMP,Clausal complement
COMPOUND,Compound modifier
CONJ,Conjunct
CSUBJ,Clausal subject
CSUBJPASS,Clausal subject (passive)
DATIVE,Dative
DEP,Unclassified dependent
DET,Determiner
DOBJ,Direct Object
EXPL,Expletive
INTJ,Interjection
MARK,Marker
META,Meta modifier
NEG,Negation modifier
NOUNMOD,Modifier of nominal
NPMOD,Noun phrase as adverbial modifier
NSUBJ,Nominal subject
NSUBJPASS,Nominal subject (passive)
NUMMOD,Number modifier
OPRD,Object predicate
PARATAXIS,Parataxis
PCOMP,Complement of preposition
POBJ,Object of preposition
POSS,Possession modifier
PRECONJ,Pre-correlative conjunction
PREDET,Pre-determiner
PREP,Prepositional modifier
PRT,Particle
PUNCT,Punctuation
QUANTMOD,Modifier of quantifier
RELCL,Relative clause modifier
ROOT,Root
XCOMP,Open clausal complement
NPADVMOD,
NMOD,
